battery_id,strategy,strategy_code,model,MAE,RMSE,MaxAE,cycle200_error,cycle200_abs_error,actual_future_slope_per100,predicted_future_slope_per100,trend_sign_match
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,strategy_template,0.0018174272146666516,0.0018274111724620188,0.002209834349999995,-0.002209834349999995,0.002209834349999995,-0.0020831573333331597,-0.0032651179729731757,True
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,supervised_ridge,0.00040799135399792073,0.0004917230188920715,0.000942836686831594,-0.000942836686831594,0.000942836686831594,-0.0020831573333331597,-0.004000985320517798,True
19,5_3C_54PER_4C_NEWSTRUCTURE,S5,template_individual,0.00022625871963143806,0.000248078767695776,0.0004065016310653702,-0.00039716910317033616,0.00039716910317033616,-0.0020831573333331597,-0.0023491540497675256,True
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,adaptive_ensemble,0.0001906021268839986,0.0003416305653243917,0.0012585982831482267,-0.00020951373171507193,0.00020951373171507193,-0.0030701268749998983,-0.0033513938705738155,True
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,individual_quadratic,0.00020632434016088164,0.00033934702419333407,0.0012485095785483846,-0.00038784760230969884,0.00038784760230969884,-0.0030701268749998983,-0.0037230396753059045,True
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,local_linear,0.00026736325345460665,0.00042001274926227694,0.0014815552818182587,0.00013943503636359988,0.00013943503636359988,-0.0030701268749998983,-0.002645372727272388,True
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,strategy_template,0.010633915783999987,0.010638922019754924,0.010946946050000017,-0.010779504299999965,0.010779504299999965,-0.0030701268749998983,-0.0026236735714281678,True
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,supervised_ridge,0.0003458387358963133,0.0004291687732241129,0.0011330353323592002,-0.0007937084923878013,0.0007937084923878013,-0.0030701268749998983,-0.004517298924329172,True
20,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,template_individual,0.00024079870816898108,0.0003994125791631621,0.0014024687996436747,3.809930453790855e-06,3.809930453790855e-06,-0.0030701268749998983,-0.0029742850425042784,True
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,adaptive_ensemble,9.596163137426172e-05,0.00011242585919377753,0.00021577745916379065,-0.000201091426126232,0.000201091426126232,-0.004951579347825892,-0.005037299107753372,True
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,individual_quadratic,0.0005434826353584721,0.000608332947781053,0.0011415253612589993,-0.0011415253612589993,0.0011415253612589993,-0.004951579347825892,-0.006684323508414307,True
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,local_linear,0.00024164755673169224,0.00029155465171886195,0.0006850060756097287,0.0003532847951218665,0.0003532847951218665,-0.004951579347825892,-0.004086705609756177,True
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,strategy_template,0.0006952353413333267,0.0007359433437198159,0.0011204901000000378,0.0007080989000000093,0.0007080989000000093,-0.004951579347825892,-0.0037987534259265043,True
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,supervised_ridge,8.928409051661479e-05,0.00011540113701961221,0.00030365897311313006,-8.486263050111464e-05,8.486263050111464e-05,-0.004951579347825892,-0.004968771830141746,True
21,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,template_individual,0.00015444049998843967,0.00018453513902241307,0.00040139943280737,-3.58616700586456e-05,3.58616700586456e-05,-0.004951579347825892,-0.00487964535910157,True
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,adaptive_ensemble,0.00010424768397751638,0.00011891266519245642,0.0002751302480590301,-0.0001965090668017977,0.0001965090668017977,-0.002381601212121286,-0.002642833757553969,True
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,individual_quadratic,0.00017270240260668367,0.00020738228579928136,0.000408556156198836,-0.000408556156198836,0.000408556156198836,-0.002381601212121286,-0.002965972745796781,True
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,local_linear,0.00023854889669222556,0.00028069310495791957,0.000591606480769058,0.0003349404230768016,0.0003349404230768016,-0.002381601212121286,-0.0016902411538463696,True
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,strategy_template,0.0018161613390000064,0.001840078804151368,0.0024051491666665648,-0.0024051491666665648,0.0024051491666665648,-0.002381601212121286,-0.0042873017479673715,True
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,supervised_ridge,0.00032660548052341196,0.000400885487163107,0.0007931220367163316,-0.0007931220367163316,0.0007931220367163316,-0.002381601212121286,-0.003951682977233175,True
22,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,template_individual,0.00027957143601809565,0.0003270768920541703,0.0006321019565128649,-0.0006321019565128649,0.0006321019565128649,-0.002381601212121286,-0.0033289215897085766,True
23,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,adaptive_ensemble,9.962653351528462e-05,0.00011856026113693283,0.0002623916150371608,-0.00014542773349257576,0.00014542773349257576,-0.004906472045454469,-0.005073452621462415,True
