C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,exposure_p,E1,E2,stress_sum_benchmark,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,eol_median,pareto_rank,p
4.95,72.0,4.55,8.727272727272727,1.054945054945055,9.782217782217781,7.672327672327672,0.20185485844348142,1,True,True,True,True,2.0,22.05225,2.0702499999999993,24.1225,0.002614366308362777,0.0018426201935917447,0.0007717461147710323,0.0009213100967958724,0.002614366308362777,0.004456986501954522,0.0018426201935917447,1.0,0.9947712673832744,1432.0829786916793,False,10.006021259323951,physical_offset,1432.0829786916793,17,2.0
4.9,74.0,4.7,9.061224489795917,0.7659574468085105,9.827181936604427,8.295267042987406,0.12334903648645763,1,True,True,True,True,2.0,22.209250000000004,1.6567499999999993,23.866000000000003,0.0025177403410461493,0.00184221049695831,0.0006755298440878394,0.000921105248479155,0.0025177403410461493,0.004359950838004459,0.00184221049695831,1.0,0.9949645193179076,1437.3213788783887,False,10.050985413710597,physical_offset,1437.3213788783887,18,2.0
4.9,74.0,4.65,9.061224489795917,0.7741935483870966,9.835418038183013,8.28703094140882,0.13666597484470586,1,True,True,True,True,2.0,22.209250000000004,1.6216874999999993,23.830937500000005,0.0025116789756040284,0.0018422011931292254,0.000669477782474803,0.0009211005965646127,0.0025116789756040284,0.004353880168733254,0.0018422011931292254,1.0,0.994976642048792,1437.6453051301876,False,10.059221515289183,physical_offset,1437.6453051301876,19,2.0
4.9,74.0,4.6,9.061224489795917,0.782608695652174,9.84383318544809,8.278615794143743,0.15337937967542026,1,True,True,True,True,2.0,22.209250000000004,1.5869999999999989,23.796250000000004,0.00250568243759979,0.0018421919888063345,0.0006634904487934556,0.0009210959944031673,0.00250568243759979,0.004347874426406125,0.0018421919888063345,1.0,0.9949886351248005,1437.965842107887,False,10.06763666255426,physical_offset,1437.965842107887,20,2.0
4.9,74.0,4.55,9.061224489795917,0.7912087912087912,9.852433281004709,8.270015698587125,0.17250484367178248,1,True,True,True,True,2.0,22.209250000000004,1.5526874999999989,23.761937500000002,0.0024997507270334363,0.0018421828839896369,0.0006575678430437994,0.0009210914419948184,0.0024997507270334363,0.004341933611023073,0.0018421828839896369,1.0,0.9950004985459331,1438.2829873891703,False,10.076236758110879,physical_offset,1438.2829873891703,21,2.0
4.9,74.0,4.5,9.061224489795917,0.7999999999999999,9.861224489795918,8.261224489795916,0.1933278294040515,1,True,True,True,True,2.0,22.209250000000004,1.5187499999999992,23.728000000000005,0.0024938838439049656,0.0018421738786791326,0.000651709965225833,0.0009210869393395663,0.0024938838439049656,0.004336057722584098,0.0018421738786791326,1.0,0.99501223231219,1438.5967385777483,False,10.085027966902087,physical_offset,1438.5967385777483,22,2.0
4.85,77.0,4.75,9.52577319587629,0.3789473684210526,9.904720564297342,9.146825827455238,0.06167451824322873,1,True,True,True,True,2.0,22.640406249999998,0.8460937499999995,23.486499999999996,0.002308551704541121,0.0018411715941075088,0.0004673801104336122,0.0009205857970537544,0.002308551704541121,0.004149723298648629,0.0018411715941075088,1.0,0.9953828965909177,1448.784026390136,False,10.128524041403512,physical_offset,1448.784026390136,23,2.0
4.85,77.0,4.7,9.52577319587629,0.38297872340425526,9.908751919280546,9.142794472472035,0.07668968983770988,1,True,True,True,True,2.0,22.640406249999998,0.8283749999999996,23.46878125,0.002305488608101118,0.0018411668924398698,0.0004643217156612483,0.0009205834462199349,0.002305488608101118,0.004146655500540988,0.0018411668924398698,1.0,0.9953890227837978,1448.949105067237,False,10.132555396386715,physical_offset,1448.949105067237,24,2.0
4.85,77.0,4.65,9.52577319587629,0.3870967741935483,9.912869970069838,9.138676421682742,0.0966639147020255,1,True,True,True,True,2.0,22.640406249999998,0.8108437499999996,23.451249999999998,0.002302457925380058,0.0018411622405253277,0.00046129568485473046,0.0009205811202626638,0.002302457925380058,0.0041436201659053856,0.0018411622405253277,1.0,0.9953950841492398,1449.1124561166466,False,10.136673447176008,physical_offset,1449.1124561166466,25,2.0
4.8,80.0,4.8,10.0,0.0,10.0,10.0,0.0,1,True,True,True,True,2.0,23.04,0.0,23.04,0.002098291481366613,0.001840183593298726,0.0002581078880678873,0.000920091796649363,0.002098291481366613,0.003938475074665339,0.001840183593298726,1.0,0.9958034170372667,1460.3865236213405,False,10.22380347710617,physical_offset,1460.3865236213405,26,2.0
