model,p,alpha,response,loso_rmse,loso_mae,normalized_loso_rmse,scope
separate_phase_exposure,2.0,0.3,A,0.00047607409584653676,0.0004218399523812073,1.721851938992741,dataset3_only
separate_phase_exposure,2.0,0.3,combined,,,1.4818670205300264,dataset3_only
separate_phase_exposure,2.0,1.0,R100,0.007224803728069875,0.0051947259734761615,1.228044627106984,dataset3_only
separate_phase_exposure,2.0,1.0,A,0.0004638113176197354,0.00041094326856997554,1.6775002537162915,dataset3_only
separate_phase_exposure,2.0,1.0,combined,,,1.4527724404116378,dataset3_only
separate_phase_exposure,2.0,3.0,R100,0.007027452110680331,0.00481486767612165,1.1944995506581255,dataset3_only
separate_phase_exposure,2.0,3.0,A,0.0004416586579784031,0.00039288776816560986,1.5973791123014267,dataset3_only
separate_phase_exposure,2.0,3.0,combined,,,1.3959393314797761,dataset3_only
separate_phase_exposure,2.0,10.0,R100,0.006811143706259729,0.004559261434183073,1.1577322717333358,dataset3_only
separate_phase_exposure,2.0,10.0,A,0.00040134399991495387,0.0003597975136917059,1.451570145247786,dataset3_only
separate_phase_exposure,2.0,10.0,combined,,,1.304651208490561,dataset3_only
summed_stress_benchmark,2.0,0.0,R100,0.006037911798339487,0.0041635040894995165,1.0263012563356604,dataset3_only
summed_stress_benchmark,2.0,0.0,A,0.00048688927544284475,0.00040362227170126605,1.760967988618051,dataset3_only
summed_stress_benchmark,2.0,0.0,combined,,,1.3936346224768557,dataset3_only
summed_stress_benchmark,2.0,0.03,R100,0.006037383910191201,0.004150481605413204,1.026211527918306,dataset3_only
summed_stress_benchmark,2.0,0.03,A,0.0004858235723514749,0.00040299816695470533,1.7571135824441486,dataset3_only
summed_stress_benchmark,2.0,0.03,combined,,,1.3916625551812274,dataset3_only
summed_stress_benchmark,2.0,0.1,R100,0.006036498347124732,0.004120691609137326,1.0260610032803124,dataset3_only
summed_stress_benchmark,2.0,0.1,A,0.00048338989064659074,0.0004015704763579979,1.7483115081473009,dataset3_only
summed_stress_benchmark,2.0,0.1,combined,,,1.3871862557138066,dataset3_only
summed_stress_benchmark,2.0,0.3,R100,0.006036353176175528,0.004039913344303006,1.0260363276751483,dataset3_only
summed_stress_benchmark,2.0,0.3,A,0.0004768207859816446,0.0003976991643895673,1.7245525477176833,dataset3_only
summed_stress_benchmark,2.0,0.3,combined,,,1.3752944376964158,dataset3_only
summed_stress_benchmark,2.0,1.0,R100,0.006055384960422783,0.0038033682072995917,1.0292712778923143,dataset3_only
summed_stress_benchmark,2.0,1.0,A,0.000457553372840352,0.00038618201128348657,1.6548666879615097,dataset3_only
summed_stress_benchmark,2.0,1.0,combined,,,1.3420689829269121,dataset3_only
summed_stress_benchmark,2.0,3.0,R100,0.006169908004144393,0.0036231939735651905,1.0487374687835418,dataset3_only
summed_stress_benchmark,2.0,3.0,A,0.00042237773516125944,0.00036438168576126244,1.5276443911143072,dataset3_only
summed_stress_benchmark,2.0,3.0,combined,,,1.2881909299489245,dataset3_only
summed_stress_benchmark,2.0,10.0,R100,0.006492172195623288,0.00431148148374572,1.1035147089343078,dataset3_only
summed_stress_benchmark,2.0,10.0,A,0.0003767494505533935,0.0003338612300301485,1.3626172430077397,dataset3_only
summed_stress_benchmark,2.0,10.0,combined,,,1.2330659759710239,dataset3_only
separate_phase_exposure,2.5,0.0,R100,0.006034150347813039,0.004383629397982112,1.0256618992980169,dataset3_only
separate_phase_exposure,2.5,0.0,A,0.0007862008098243353,0.0006384780255871558,2.843509866728958,dataset3_only
separate_phase_exposure,2.5,0.0,combined,,,1.9345858830134874,dataset3_only
separate_phase_exposure,2.5,0.03,R100,0.006895448446877293,0.005290941895651514,1.17206207052812,dataset3_only
separate_phase_exposure,2.5,0.03,A,0.0005421522306393516,0.00047867166594877986,1.960841553236966,dataset3_only
separate_phase_exposure,2.5,0.03,combined,,,1.566451811882543,dataset3_only
separate_phase_exposure,2.5,0.1,R100,0.0070419905040370575,0.005233725824297898,1.1969707314016425,dataset3_only
separate_phase_exposure,2.5,0.1,A,0.0005105355279994817,0.00044843292469753704,1.846491116571818,dataset3_only
separate_phase_exposure,2.5,0.1,combined,,,1.5217309239867303,dataset3_only
separate_phase_exposure,2.5,0.3,R100,0.007073252759747927,0.005117124141374125,1.2022845705870335,dataset3_only
separate_phase_exposure,2.5,0.3,A,0.0004935125697594053,0.0004314142185838793,1.7849229407168636,dataset3_only
separate_phase_exposure,2.5,0.3,combined,,,1.4936037556519486,dataset3_only
separate_phase_exposure,2.5,1.0,R100,0.007006811144477564,0.00492728253818854,1.190991077819601,dataset3_only
separate_phase_exposure,2.5,1.0,A,0.00047689639086797,0.00041687666383214084,1.7248259934297112,dataset3_only
separate_phase_exposure,2.5,1.0,combined,,,1.457908535624656,dataset3_only
separate_phase_exposure,2.5,3.0,R100,0.006847414893204558,0.00457974482800568,1.163897509976879,dataset3_only
separate_phase_exposure,2.5,3.0,A,0.00045136582568849377,0.00039704017387968597,1.632487734445689,dataset3_only
separate_phase_exposure,2.5,3.0,combined,,,1.398192622211284,dataset3_only
separate_phase_exposure,2.5,10.0,R100,0.006703311742739946,0.004415546325470151,1.1394034051765356,dataset3_only
separate_phase_exposure,2.5,10.0,A,0.00040664459950693504,0.0003622650734038098,1.470741210770786,dataset3_only
separate_phase_exposure,2.5,10.0,combined,,,1.3050723079736608,dataset3_only
summed_stress_benchmark,2.5,0.0,R100,0.006031446295683238,0.0041660448151818194,1.0252022748134766,dataset3_only
summed_stress_benchmark,2.5,0.0,A,0.0004830757429785117,0.0004009173048059479,1.7471753073413103,dataset3_only
summed_stress_benchmark,2.5,0.0,combined,,,1.3861887910773936,dataset3_only
summed_stress_benchmark,2.5,0.03,R100,0.006030961272891171,0.004153007177662015,1.0251198324861497,dataset3_only
summed_stress_benchmark,2.5,0.03,A,0.0004820366059625981,0.000400309333062739,1.7434169846320096,dataset3_only
summed_stress_benchmark,2.5,0.03,combined,,,1.3842684085590795,dataset3_only
summed_stress_benchmark,2.5,0.1,R100,0.006030173913965596,0.004123182516668997,1.0249860002140838,dataset3_only
summed_stress_benchmark,2.5,0.1,A,0.00047966361805037007,0.00039891854802925463,1.7348344260061075,dataset3_only
summed_stress_benchmark,2.5,0.1,combined,,,1.3799102131100955,dataset3_only
summed_stress_benchmark,2.5,0.3,R100,0.006030295904620166,0.004042310255324048,1.025006735721032,dataset3_only
summed_stress_benchmark,2.5,0.3,A,0.0004732585195798459,0.0003951473088279465,1.7116686387533884,dataset3_only
summed_stress_benchmark,2.5,0.3,combined,,,1.3683376872372102,dataset3_only
summed_stress_benchmark,2.5,1.0,R100,0.006050126243091788,0.0038017152778228257,1.028377421144523,dataset3_only
summed_stress_benchmark,2.5,1.0,A,0.0004544734992574305,0.00038392787220405486,1.643727484323101,dataset3_only
summed_stress_benchmark,2.5,1.0,combined,,,1.3360524527338118,dataset3_only
summed_stress_benchmark,2.5,3.0,R100,0.006166141732510835,0.0036150465529319977,1.0480972922724698,dataset3_only
summed_stress_benchmark,2.5,3.0,A,0.0004201817754294865,0.0003626910814516886,1.5197021032328804,dataset3_only
summed_stress_benchmark,2.5,3.0,combined,,,1.283899697752675,dataset3_only
summed_stress_benchmark,2.5,10.0,R100,0.0064903373676515365,0.004311439101778123,1.103202831862323,dataset3_only
summed_stress_benchmark,2.5,10.0,A,0.0003756925040865727,0.0003329595743983757,1.3587945075571355,dataset3_only
summed_stress_benchmark,2.5,10.0,combined,,,1.2309986697097293,dataset3_only
separate_phase_exposure,3.0,0.0,R100,0.006719795715788461,0.005350145597532454,1.1422052881476892,dataset3_only
