scope,response,iteration,predictor,standardized_beta
all_unadjusted,SOH_200,81,C1,1.161131079787265
all_unadjusted,SOH_200,81,Q1,0.38411631247045597
all_unadjusted,SOH_200,81,C2,0.28225662603615365
all_unadjusted,SOH_200,82,C1,0.5545214429940597
all_unadjusted,SOH_200,82,Q1,0.41656403862431524
all_unadjusted,SOH_200,82,C2,-0.7947793665917804
all_unadjusted,SOH_200,83,C1,0.4283054062096439
all_unadjusted,SOH_200,83,Q1,0.3603742062580747
all_unadjusted,SOH_200,83,C2,-0.5111786898797009
all_unadjusted,SOH_200,84,C1,0.4302823244484424
all_unadjusted,SOH_200,84,Q1,0.08879341244724615
all_unadjusted,SOH_200,84,C2,-0.457058748848278
all_unadjusted,SOH_200,85,C1,0.44672729006996237
all_unadjusted,SOH_200,85,Q1,0.18310134309628168
all_unadjusted,SOH_200,85,C2,-0.4512970652857282
all_unadjusted,SOH_200,86,C1,0.11644492556856686
all_unadjusted,SOH_200,86,Q1,-0.18565826613324948
all_unadjusted,SOH_200,86,C2,-1.1022616813301855
all_unadjusted,SOH_200,87,C1,-0.29358348313211446
all_unadjusted,SOH_200,87,Q1,-0.6487121926029347
all_unadjusted,SOH_200,87,C2,-0.3126115430019049
all_unadjusted,SOH_200,88,C1,-0.1748581519436374
all_unadjusted,SOH_200,88,Q1,-0.22229876342435367
all_unadjusted,SOH_200,88,C2,-0.46755482029038736
all_unadjusted,SOH_200,89,C1,0.07979119595974901
all_unadjusted,SOH_200,89,Q1,-0.2579904547463142
all_unadjusted,SOH_200,89,C2,-0.6804180703422383
all_unadjusted,SOH_200,90,C1,0.43686845561605303
all_unadjusted,SOH_200,90,Q1,0.25202894505759743
all_unadjusted,SOH_200,90,C2,-0.6844290997265984
all_unadjusted,SOH_200,91,C1,0.44395372251139953
all_unadjusted,SOH_200,91,Q1,0.40800858981758625
all_unadjusted,SOH_200,91,C2,-0.47450812944633247
all_unadjusted,SOH_200,92,C1,-0.3813430188561534
all_unadjusted,SOH_200,92,Q1,-0.7462553827648089
all_unadjusted,SOH_200,92,C2,-0.7387919146006534
all_unadjusted,SOH_200,93,C1,-0.26205965312392965
all_unadjusted,SOH_200,93,Q1,-0.23514065524746297
all_unadjusted,SOH_200,93,C2,-0.3846865407656862
all_unadjusted,SOH_200,94,C1,0.3226092419988001
all_unadjusted,SOH_200,94,Q1,-0.1522074605265824
all_unadjusted,SOH_200,94,C2,-0.9114550990577903
all_unadjusted,SOH_200,95,C1,0.8292563388533141
all_unadjusted,SOH_200,95,Q1,0.35702163970527223
all_unadjusted,SOH_200,95,C2,-0.01812362684765681
all_unadjusted,SOH_200,96,C1,0.5766779466682279
all_unadjusted,SOH_200,96,Q1,0.4116208738474315
all_unadjusted,SOH_200,96,C2,-0.5990752668362703
all_unadjusted,SOH_200,97,C1,0.5190404883689755
all_unadjusted,SOH_200,97,Q1,0.37750533670486475
all_unadjusted,SOH_200,97,C2,-0.5296231538557239
all_unadjusted,SOH_200,98,C1,1.0228201768104768
all_unadjusted,SOH_200,98,Q1,0.5488463391188516
all_unadjusted,SOH_200,98,C2,0.15849349470238053
all_unadjusted,SOH_200,99,C1,0.9154714302157207
all_unadjusted,SOH_200,99,Q1,0.35121656426245934
all_unadjusted,SOH_200,99,C2,0.056618848962667
all_unadjusted,SOH_200,100,C1,0.16423712821180056
all_unadjusted,SOH_200,100,Q1,-0.01617124823711963
all_unadjusted,SOH_200,100,C2,-0.7554778295407124
all_unadjusted,SOH_200,101,C1,0.034721305626382204
all_unadjusted,SOH_200,101,Q1,-0.6604404334511567
all_unadjusted,SOH_200,101,C2,-1.1134899552939155
all_unadjusted,SOH_200,102,C1,1.0344916947250509
all_unadjusted,SOH_200,102,Q1,0.46098189388907573
all_unadjusted,SOH_200,102,C2,0.07850281037571846
all_unadjusted,SOH_200,103,C1,0.2323317860151077
all_unadjusted,SOH_200,103,Q1,0.5171601907953534
