scope,p,response,n,k_including_intercept,fit_r_squared,AICc,loo_rmse,loo_mae,normalized_loo_rmse,selected_shared_p
all_parameterized,1.9500000000000002,SOH_slope_50_200_per100,8.0,2.0,0.16911969817478678,-78.91720215449935,0.0151787068402808,0.009589873855859358,2.862881593625043,False
all_parameterized,1.9500000000000002,eol_point,8.0,2.0,0.04424547061223316,94.97877623303235,355.2868264354304,297.8733393152321,1.3690606213562349,False
dataset3_only,1.9500000000000002,SOH_200,6.0,2.0,0.9009282284117481,-60.10889272435871,0.01108371061958434,0.007647822198202869,1.0176610817583363,False
dataset3_only,1.9500000000000002,SOH_slope_50_200_per100,6.0,2.0,0.9052527774782549,-67.897365922994,0.0057909856708188686,0.004005251667196156,0.9950685535579501,False
dataset3_only,1.9500000000000002,eol_point,6.0,2.0,0.7495893677450098,62.67690042528598,138.00845641916305,132.54623257459528,0.7251186394589872,False
all_parameterized,2.0,SOH_200,8.0,2.0,0.20938737280526953,-69.39064961234659,0.02820540946989207,0.017421708540926645,2.8610838690114573,False
all_parameterized,2.0,SOH_slope_50_200_per100,8.0,2.0,0.17237754074111256,-78.94863143476825,0.014882534020312211,0.009476856448732852,2.807019936651081,False
all_parameterized,2.0,eol_point,8.0,2.0,0.044723201805792145,94.97477645597696,352.5342022785841,296.07366603537616,1.358453672102469,False
dataset3_only,2.0,SOH_200,6.0,2.0,0.9008980461446937,-60.107065099598444,0.011083204052462972,0.007649112205662741,1.017614570832311,False
dataset3_only,2.0,SOH_slope_50_200_per100,6.0,2.0,0.9052137223489245,-67.89489321205808,0.005791016319254623,0.004006055070732932,0.9950738198971139,False
dataset3_only,2.0,eol_point,6.0,2.0,0.7493073506246701,62.68365393484267,138.18498929896666,132.71435138634308,0.7260461716185688,False
all_parameterized,2.05,SOH_200,8.0,2.0,0.2131083672536216,-69.42839025311855,0.027650588314751017,0.01721000184526017,2.804804244393533,False
all_parameterized,2.05,SOH_slope_50_200_per100,8.0,2.0,0.17566943580549854,-78.98051514453479,0.014597846910465007,0.00936781013107902,2.75332461890761,False
all_parameterized,2.05,eol_point,8.0,2.0,0.04520278242356146,94.97075918230998,349.93113731154415,294.33824098560035,1.3484230335421787,False
dataset3_only,2.05,SOH_200,6.0,2.0,0.9008730120248063,-60.105549632495254,0.01108258262373483,0.007650248190797053,1.0175575137822468,False
dataset3_only,2.05,SOH_slope_50_200_per100,6.0,2.0,0.9051799025122815,-67.89275278801526,0.005790978759829855,0.004006773399920103,0.995067366038548,False
dataset3_only,2.05,eol_point,6.0,2.0,0.7490332128641312,62.690211478097105,138.35641251964842,132.87654547650786,0.7269468568068365,False
all_parameterized,2.1,SOH_200,8.0,2.0,0.21686373562120997,-69.46666091606696,0.02711682110091814,0.01700555941418365,2.7506602771898447,False
all_parameterized,2.1,SOH_slope_50_200_per100,8.0,2.0,0.1789948340054398,-79.01285288732494,0.014324080523789856,0.009262535660617702,2.7016890772496343,False
all_parameterized,2.1,eol_point,8.0,2.0,0.04568410443881943,94.96672529225165,347.468875643029,292.6639635004436,1.3389349657642093,False
dataset3_only,2.1,SOH_200,6.0,2.0,0.9008529862770053,-60.1043376280349,0.011081850587092977,0.007651235128608676,1.0174903011648841,False
dataset3_only,2.1,SOH_slope_50_200_per100,6.0,2.0,0.9051511713692789,-67.89093502204946,0.005790875561858867,0.004007409425354369,0.9950496334690756,False
dataset3_only,2.1,eol_point,6.0,2.0,0.7487665986471193,62.69658218638844,138.52294257116705,133.03307227093492,0.7278218324968729,False
all_parameterized,2.1500000000000004,SOH_200,8.0,2.0,0.22065277756026636,-69.50546119163785,0.026603086945699867,0.01680802103046322,2.6985484116973684,False
all_parameterized,2.1500000000000004,SOH_slope_50_200_per100,8.0,2.0,0.18235315728063184,-79.0456440152446,0.014060705928988787,0.009160846589431906,2.652013549049599,False
all_parameterized,2.1500000000000004,eol_point,8.0,2.0,0.046167057733377814,94.96267568525835,345.13926546771813,291.0479339581123,1.3299580566394673,False
dataset3_only,2.1500000000000004,SOH_200,6.0,2.0,0.9008378364859146,-60.10342089036308,0.011081011938627828,0.0076520776802673955,1.0174132998849381,False
dataset3_only,2.1500000000000004,SOH_slope_50_200_per100,6.0,2.0,0.9051273901417104,-67.88943084447949,0.005790709138815581,0.004007965743112722,0.9950210368973735,False
dataset3_only,2.1500000000000004,eol_point,6.0,2.0,0.7485071743435567,62.70277460634155,138.68478312304057,133.1841728996171,0.728672168801102,False
all_parameterized,2.2,SOH_200,8.0,2.0,0.22447476241900655,-69.5447903858158,0.026108429126834833,0.01661704925219709,2.6483716004815676,False
all_parameterized,2.2,SOH_slope_50_200_per100,8.0,2.0,0.18574379912902983,-79.07888762481598,0.013807227392239803,0.009062568253320146,2.6042045331120955,False
all_parameterized,2.2,eol_point,8.0,2.0,0.04665153019675339,94.95861127925498,342.93471157116403,289.487437900316,1.3214630388035662,False
dataset3_only,2.2,SOH_200,6.0,2.0,0.9008274370833049,-60.102791687229185,0.011080070436020164,0.007652780218253034,1.017326854957325,False
dataset3_only,2.2,SOH_slope_50_200_per100,6.0,2.0,0.9051084273234843,-67.888231704492,0.00579048175995462,0.004008444788700745,0.9949819662508296,False
dataset3_only,2.2,eol_point,6.0,2.0,0.7482546268048875,62.70879674600694,138.8421259475674,133.33007347035968,0.729498873322041,False
all_parameterized,2.25,SOH_200,8.0,2.0,0.22832892966882468,-69.58464751528142,0.025631950074871724,0.016432327642477096,2.600038796416137,False
all_parameterized,2.25,SOH_slope_50_200_per100,8.0,2.0,0.18916612491673468,-79.1125825530923,0.013563179786979945,0.008967536855811054,2.5581743011286577,False
all_parameterized,2.25,eol_point,8.0,2.0,0.04713740783041165,94.95453300982197,340.84813209993024,287.97993163227784,1.313422623075077,False
dataset3_only,2.25,SOH_200,6.0,2.0,0.9008216688760085,-60.10244271734976,0.011079029616068376,0.007653346849140985,1.0172312911164412,False
dataset3_only,2.25,SOH_slope_50_200_per100,6.0,2.0,0.9050941581757503,-67.88732953322913,0.005790195560922386,0.004008848849696065,0.9949327884988504,False
dataset3_only,2.25,eol_point,6.0,2.0,0.7480086618135069,62.71465611671479,138.99515176563833,133.47098622536234,0.7303028955963331,False
all_parameterized,2.3,SOH_200,8.0,2.0,0.23221448939053502,-69.62503130286787,0.025172806828006045,0.016253559162417497,2.55346449163339,False
all_parameterized,2.3,SOH_slope_50_200_per100,8.0,2.0,0.19261947224196463,-79.1467273740658,0.013328126242878066,0.008875598636670428,2.513840454246538,False
all_parameterized,2.3,eol_point,8.0,2.0,0.04762457485693694,94.95044182933772,338.8729191555804,286.5230291443735,1.3058113466085852,False
dataset3_only,2.3,SOH_200,6.0,2.0,0.9008204186108181,-60.10236708042609,0.011077892810713991,0.007653781434283173,1.0171269142875616,False
dataset3_only,2.3,SOH_slope_50_200_per100,6.0,2.0,0.9050844642619761,-67.88671670991657,0.0057898525534574976,0.0040091800772265014,0.9948738493196936,False
dataset3_only,2.3,eol_point,6.0,2.0,0.7477690026703376,62.72035977109904,139.14403102245285,133.60711059301696,0.7310851311704861,False
all_parameterized,2.35,SOH_200,8.0,2.0,0.23613062281942676,-69.66594017333142,0.024730206900452793,0.016080464710255815,2.5085682984226523,False
all_parameterized,2.35,SOH_slope_50_200_per100,8.0,2.0,0.19610315135319667,-79.18132039538338,0.013101656008702252,0.008786609115959167,2.4711255199805104,False
all_parameterized,2.35,eol_point,8.0,2.0,0.04811291383393035,94.9463387060778,337.00290282367484,285.11449021596343,1.298605434284194,False
dataset3_only,2.35,SOH_200,6.0,2.0,0.900823578573102,-60.10255824957083,0.011076663161711771,0.007654087608607234,1.0170140129337883,False
dataset3_only,2.35,SOH_slope_50_200_per100,6.0,2.0,0.9050792330194626,-67.88638603075101,0.005789454634269569,0.0040094404964062455,0.9948054746261141,False
dataset3_only,2.35,eol_point,6.0,2.0,0.7475353889064187,62.725914337694135,139.28892459972508,133.7386341458076,0.7318464253429162,False
all_parameterized,2.4000000000000004,SOH_200,8.0,2.0,0.24007648294891948,-69.70737224945282,0.02430340452124896,0.015912781791286842,2.4652745677041077,False
all_parameterized,2.4000000000000004,SOH_slope_50_200_per100,8.0,2.0,0.1996164456213917,-79.2163596553834,0.012883382506794105,0.008700432405764031,2.4299565852639775,False
all_parameterized,2.4000000000000004,eol_point,8.0,2.0,0.048602305772452836,94.94222462327232,335.23231829436554,283.75220957851946,1.2917826720101742,False
dataset3_only,2.4000000000000004,SOH_200,6.0,2.0,0.9008310462162827,-60.10301004592915,0.011075343634073554,0.007654268797729809,1.0168928592904096,False
dataset3_only,2.4000000000000004,SOH_slope_50_200_per100,6.0,2.0,0.9050783573641085,-67.88633068029337,0.005789003593175147,0.004009632015838117,0.9947279719633666,False
dataset3_only,2.4000000000000004,eol_point,6.0,2.0,0.7473075751060403,62.731326052458286,139.42998447024453,133.86573347389108,0.7325875766031162,False
all_parameterized,2.45,SOH_200,8.0,2.0,0.2440511951922456,-69.74932534848413,0.02389169720543382,0.01575026330517887,2.423512041218183,False
all_parameterized,2.45,SOH_slope_50_200_per100,8.0,2.0,0.2031586120660287,-79.25184292046738,0.012672941559473773,0.008616940582646776,2.390264961928214,False
all_parameterized,2.45,eol_point,8.0,2.0,0.049092630259786496,94.93810057812327,333.5557757706269,282.4342070295298,1.28532229076748,False
dataset3_only,2.45,SOH_200,6.0,2.0,0.9008427238195442,-60.10371661529885,0.01107393702840414,0.007654328233558346,1.0167637104975302,False
dataset3_only,2.45,SOH_slope_50_200_per100,6.0,2.0,0.9050817353255534,-67.88654420514132,0.005788501120561703,0.0040097564362780065,0.9946416317917475,False
dataset3_only,2.45,eol_point,6.0,2.0,0.7470853298303216,62.73660078753703,139.5673543000999,133.98857498288206,0.7333093397958361,False
all_parameterized,2.5,SOH_200,8.0,2.0,0.24805385810145586,-69.79179697895627,0.023494422623951478,0.015592676438775183,2.383213534016552,False
all_parameterized,2.5,SOH_slope_50_200_per100,8.0,2.0,0.20672888193450178,-79.28776768281897,0.012469989769971239,0.008536013114660474,2.351985881327082,False
all_parameterized,2.5,eol_point,8.0,2.0,0.04958376558628008,94.93396758078315,331.9682328944495,281.1586184011711,1.2792048603569717,False
dataset3_only,2.5,SOH_200,6.0,2.0,0.9008585181713195,-60.10467240656858,0.011072445992231042,0.007654268968532533,1.0166268096403233,False
dataset3_only,2.5,SOH_slope_50_200_per100,6.0,2.0,0.905089269710072,-67.88702048967461,0.005787948814242618,0.004009815458545867,0.9945467286644919,False
dataset3_only,2.5,eol_point,6.0,2.0,0.7468684346314216,62.74174407754374,139.7011700032944,134.10731562336048,0.7340124290351211,False
all_parameterized,2.55,SOH_200,8.0,2.0,0.2520835441428254,-69.83478433786095,0.023110955742452068,0.015439801653839735,2.344315644229516,False
all_parameterized,2.55,SOH_slope_50_200_per100,8.0,2.0,0.2103264613342345,-79.32413115848244,0.012274203042460715,0.008457536337482603,2.315058215198207,False
all_parameterized,2.55,eol_point,8.0,2.0,0.050075588876026256,94.92982665329727,330.4649694512358,279.9236872986528,1.2734121919254493,False
dataset3_only,2.55,SOH_200,6.0,2.0,0.9008783402764571,-60.10587215181917,0.011070873030423426,0.0076540938886434096,1.016482386705654,False
dataset3_only,2.55,SOH_slope_50_200_per100,6.0,2.0,0.9051008677888669,-67.88775373368985,0.00578734818575994,0.004009810690758623,0.9944435223107798,False
dataset3_only,2.55,eol_point,6.0,2.0,0.7466566831485876,62.7467611436042,139.83156025304208,134.22210355881683,0.734697520390745,False
all_parameterized,2.6,SOH_200,8.0,2.0,0.25613930052748957,-69.87828430822049,0.022740706202514227,0.015291431760388927,2.3067584874239806,False
all_parameterized,2.6,SOH_slope_50_200_per100,8.0,2.0,0.21395053191670022,-79.36093028581213,0.012085275227504685,0.008381402974826176,2.27942422017789,False
all_parameterized,2.6,eol_point,8.0,2.0,0.05056797622109688,94.92567882851155,329.04156413877234,278.72775753267103,1.267927248447318,False
dataset3_only,2.6,SOH_200,6.0,2.0,0.9009021050850313,-60.10731084793963,0.011069220514781852,0.007653805725348721,1.0163306594625723,False
dataset3_only,2.6,SOH_slope_50_200_per100,6.0,2.0,0.9051164410096197,-67.88873843175831,0.005786700666185371,0.004009743654951388,0.9943322586325233,False
dataset3_only,2.6,eol_point,6.0,2.0,0.7464498802782824,62.75165691538244,139.95864695357045,134.33307877797355,0.7353652543671367,False
all_parameterized,2.6500000000000004,SOH_200,8.0,2.0,0.260220150096102,-69.92229345705904,0.02238311592174606,0.01514737106728932,2.270485453163897,False
all_parameterized,2.6500000000000004,SOH_slope_50_200_per100,8.0,2.0,0.21760025161233398,-79.39816172430324,0.011902916880729975,0.008307511698826223,2.2450293036728977,False
all_parameterized,2.6500000000000004,eol_point,8.0,2.0,0.05106080281905412,94.92152514894804,327.6938732100485,277.5692661787645,1.2627340624269234,False
dataset3_only,2.6500000000000004,SOH_200,6.0,2.0,0.9009297312410599,-60.10898373963093,0.011067490692875662,0.0076534070664930525,1.0161718342737234,False
dataset3_only,2.6500000000000004,SOH_slope_50_200_per100,6.0,2.0,0.9051359047293337,-67.8899693541552,0.005786007611465223,0.004009615793146525,0.994213170622793,False
dataset3_only,2.6500000000000004,eol_point,6.0,2.0,0.7462478414113822,62.75643605128354,140.08254567592235,134.44037365681734,0.7360162381931542,False
all_parameterized,2.7,SOH_200,8.0,2.0,0.26432509225583256,-69.96680803378622,0.022037656891788392,0.015007434602708855,2.2354429816454,False
all_parameterized,2.7,SOH_slope_50_200_per100,8.0,2.0,0.2212747554151513,-79.435821853814,0.011726854123886582,0.008235766726568769,2.211821809042841,False
all_parameterized,2.7,eol_point,8.0,2.0,0.05155394311343109,94.91736666565068,326.4180108193075,276.4467372036909,1.2578176601641156,False
dataset3_only,2.7,SOH_200,6.0,2.0,0.9009611408494356,-60.11088630367553,0.011065685696194039,0.007652900366327153,1.0160061068437465,False
dataset3_only,2.7,SOH_slope_50_200_per100,6.0,2.0,0.9051591779667274,-67.89144152922634,0.005785270307350032,0.0040094284729231084,0.9940864792128776,False
dataset3_only,2.7,eol_point,6.0,2.0,0.7460503917312494,62.761102957006,140.203366060859,134.54411347505922,0.7366510479390012,False
all_parameterized,2.75,SOH_200,8.0,2.0,0.2684531039681234,-70.01182396900504,0.021703829155505255,0.01487144739780867,2.201580358508238,False
all_parameterized,2.75,SOH_slope_50_200_per100,8.0,2.0,0.22497315621569658,-79.47390677418818,0.011556827598607716,0.00816607744934238,2.179752818267084,False
all_parameterized,2.75,eol_point,8.0,2.0,0.05204727093686912,94.91320443700366,325.21033091840314,275.358775605383,1.2531639919937536,False
dataset3_only,2.75,SOH_200,6.0,2.0,0.9009962592596551,-60.11301423436964,0.011063807547672281,0.007652287954712585,1.0158336629103062,False
dataset3_only,2.75,SOH_slope_50_200_per100,6.0,2.0,0.9051861831725507,-67.89315022706793,0.005784489973945849,0.004009182992534221,0.9939523940543343,False
dataset3_only,2.75,eol_point,6.0,2.0,0.7458573655670782,62.765661802599034,140.32121219171552,134.64441689128344,0.7372702304752701,False
all_parameterized,2.8,SOH_200,8.0,2.0,0.27260314078520687,-70.05733687375408,0.02138115894663471,0.014739243827766438,2.168849526126757,False
all_parameterized,2.8,SOH_slope_50_200_per100,8.0,2.0,0.22869454568077752,-79.51241230528558,0.011392591504218069,0.008098358091556101,2.148775970464133,False
