scope,response,n_strategies,n_predictors,residual_df,coefficient,standardized_beta,standard_error,p_value_descriptive_only,ci95_low_descriptive_only,ci95_high_descriptive_only,r_squared,adjusted_r_squared,condition_number
all_batch_adjusted,SOH_200,8,5,2.0,C2,0.15969726757388814,0.21101872800836582,0.5281770722304202,-0.7482430385195663,1.0676375736673425,0.989450531142878,0.9630768590000729,10.098423496792202
all_batch_adjusted,SOH_200,8,5,2.0,dataset_2,-1.1635384736259302,0.2591567139858449,0.046198610714200124,-2.2785998164900265,-0.04847713076183413,0.989450531142878,0.9630768590000729,10.098423496792202
all_batch_adjusted,SOH_200,8,5,2.0,dataset_3,-1.0335655622128066,0.28249990003276254,0.06725740870949626,-2.249064528242722,0.1819334038171092,0.989450531142878,0.9630768590000729,10.098423496792202
all_batch_adjusted,SOH_slope_50_200_per100,8,5,2.0,const,1.3877787807814457e-17,0.07740712298269208,0.9999999999999999,-0.33305596900353235,0.33305596900353235,0.9880162746230847,0.9580569611807965,10.098423496792202
all_batch_adjusted,SOH_slope_50_200_per100,8,5,2.0,C1,1.271733326397142,0.23419808222156643,0.032280507229464205,0.2640603086244302,2.2794063441698538,0.9880162746230847,0.9580569611807965,10.098423496792202
all_batch_adjusted,SOH_slope_50_200_per100,8,5,2.0,Q1,0.6827957750924107,0.13718966983296052,0.03807924230392182,0.09251626769219579,1.2730752824926257,0.9880162746230847,0.9580569611807965,10.098423496792202
all_batch_adjusted,SOH_slope_50_200_per100,8,5,2.0,C2,0.18380671292165515,0.22490630349035567,0.49964993431410504,-0.7838870077289846,1.151500433572295,0.9880162746230847,0.9580569611807965,10.098423496792202
all_batch_adjusted,SOH_slope_50_200_per100,8,5,2.0,dataset_2,-1.2129028457198494,0.2762123490999007,0.04814572056544283,-2.4013486635650487,-0.024457027874650317,0.9880162746230847,0.9580569611807965,10.098423496792202
all_batch_adjusted,SOH_slope_50_200_per100,8,5,2.0,dataset_3,-0.9989875649001679,0.3010917981187184,0.08008009874171604,-2.2944810119808454,0.29650588218050966,0.9880162746230847,0.9580569611807965,10.098423496792202
all_batch_adjusted,SOH_curvature_per100sq,8,5,2.0,const,-6.938893903907228e-17,0.05495795498609457,0.9999999999999991,-0.2364649950423679,0.2364649950423678,0.9939592463674928,0.9788573622862247,10.098423496792202
all_batch_adjusted,SOH_curvature_per100sq,8,5,2.0,C1,-0.10747224683703904,0.166277303232681,0.5843222541415436,-0.822905739486513,0.6079612458124349,0.9939592463674928,0.9788573622862247,10.098423496792202
