battery_id,strategy,strategy_code,model,MAE,RMSE,MaxAE,cycle200_abs_error,trend_sign_match,model_RMSE_mean
31,5C_67PER_4C_NEWSTRUCTURE,S4,policy_informed_quadratic,0.000812830337794126,0.0009123347288750357,0.0015643355035142026,0.0015643355035142026,True,0.000596795289142928
32,5_3C_54PER_4C_NEWSTRUCTURE,S5,adaptive_ensemble,0.0001129000968603644,0.0001512335365498732,0.0005012064528455706,0.0002647135440919657,True,0.0003613168770037458
32,5_3C_54PER_4C_NEWSTRUCTURE,S5,individual_quadratic,0.0002705934410086286,0.00030930676904188906,0.0007445663933751678,0.0005074184063661447,True,0.0005139258875932585
32,5_3C_54PER_4C_NEWSTRUCTURE,S5,policy_informed_quadratic,0.0005681165064616133,0.0006271138444445426,0.0012848881104626786,0.0010560615462218426,True,0.000596795289142928
33,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,adaptive_ensemble,0.00011318747991721834,0.0001473553216363353,0.000375432567132461,0.00018715343144526386,True,0.0003613168770037458
33,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,individual_quadratic,0.00011070035570343029,0.00014545846261531197,0.000328598732040275,0.00013155856866209348,True,0.0005139258875932585
33,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,policy_informed_quadratic,0.000303652784177233,0.0003472211497811207,0.0007103358063297316,0.000525137070464976,True,0.000596795289142928
34,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,adaptive_ensemble,8.808827862644809e-05,0.0001208744580182734,0.00038251046718840165,0.00038251046718840165,True,0.0003613168770037458
34,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,individual_quadratic,0.00013437480118330125,0.00015978271299941534,0.00034088962047440496,5.78669625506123e-05,True,0.0005139258875932585
34,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,policy_informed_quadratic,0.00010416586590356714,0.0001289366846324431,0.0003659016407550064,0.00022640266463380687,True,0.000596795289142928
35,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,adaptive_ensemble,0.0004004710517533394,0.00048786908228747516,0.0009183697405660274,0.0007406646942244022,True,0.0003613168770037458
35,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,individual_quadratic,0.001525445696372072,0.001725693715383313,0.0029710642327201997,0.002887808278014825,True,0.0005139258875932585
35,3_7C_31PER_5_9C_NEWSTRUCTURE,S8,policy_informed_quadratic,0.0015926637758339913,0.0017984387722947569,0.003087892429298855,0.0030099098717936146,True,0.000596795289142928
36,5_3C_54PER_4C_NEWSTRUCTURE,S5,adaptive_ensemble,0.00011129261913245036,0.0001456832682987521,0.00037947984263719814,0.00024619560091998505,True,0.0003613168770037458
36,5_3C_54PER_4C_NEWSTRUCTURE,S5,individual_quadratic,0.0001402677559279186,0.00016648932079692204,0.0003332651782478324,0.00018953525975817787,True,0.0005139258875932585
36,5_3C_54PER_4C_NEWSTRUCTURE,S5,policy_informed_quadratic,0.0003085245167008743,0.00032942089663748396,0.0005963420775650929,0.0004607881059823793,True,0.000596795289142928
37,5C_67PER_4C_NEWSTRUCTURE,S4,adaptive_ensemble,0.00021331777491415905,0.00025739108911652985,0.0004769538796427497,0.0004163199233847559,True,0.0003613168770037458
37,5C_67PER_4C_NEWSTRUCTURE,S4,individual_quadratic,0.0005537572063007357,0.000628799170809526,0.0010779203450461683,0.0010779203450461683,True,0.0005139258875932585
37,5C_67PER_4C_NEWSTRUCTURE,S4,policy_informed_quadratic,0.0004810147936902354,0.0005556591691085357,0.0009671688257750777,0.0009671688257750777,True,0.000596795289142928
38,5_3C_54PER_4C_NEWSTRUCTURE,S5,adaptive_ensemble,0.00020507132025060048,0.0002469021351943344,0.0004924919041668918,0.0004924919041668918,True,0.0003613168770037458
38,5_3C_54PER_4C_NEWSTRUCTURE,S5,individual_quadratic,0.0007873974951089968,0.0008686825110323244,0.0015390253627352024,0.0015390253627352024,True,0.0005139258875932585
38,5_3C_54PER_4C_NEWSTRUCTURE,S5,policy_informed_quadratic,0.0008418446375824029,0.0009289917525780894,0.001644132964297218,0.001644132964297218,True,0.000596795289142928
39,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,adaptive_ensemble,0.0001380128646939438,0.00015911198486400863,0.0002925226540210213,0.0001872403867563266,True,0.0003613168770037458
39,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,individual_quadratic,0.00040902080947380126,0.0004541011577592141,0.0007677580778163717,0.0007161072903487664,True,0.0005139258875932585
39,5_6C_19PER_4_6C_NEWSTRUCTURE,S6,policy_informed_quadratic,0.0005038375310227817,0.0005539771215264459,0.0009194319592713551,0.0008809900392056091,True,0.000596795289142928
40,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,adaptive_ensemble,0.00013139336971356385,0.00015773169943407534,0.00034288397738335696,0.00020378056997183425,True,0.0003613168770037458
40,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,individual_quadratic,0.0006838469382303547,0.0007433581192794827,0.0012585541795941957,0.001200375356022021,True,0.0005139258875932585
40,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,policy_informed_quadratic,0.000792327208914061,0.0008613687437912335,0.00144022312092551,0.001399410941634871,True,0.000596795289142928
41,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,adaptive_ensemble,0.0007417382069388046,0.0008824818910508291,0.0015618587649545157,0.0015618587649545157,True,0.0003613168770037458
41,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,individual_quadratic,0.00021075692237703113,0.0002717035268856151,0.0005184680814812603,0.0004884845487023171,True,0.0005139258875932585
41,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,policy_informed_quadratic,0.00013141701056300635,0.00015651609566403834,0.0003170767913079908,0.00017817047133206199,True,0.000596795289142928
42,5C_67PER_4C_NEWSTRUCTURE,S4,adaptive_ensemble,0.0001516107190805349,0.0001762231625416214,0.0003147442228895736,0.00031190402616276813,True,0.0003613168770037458
42,5C_67PER_4C_NEWSTRUCTURE,S4,individual_quadratic,0.00032757905111699956,0.00036910041098377503,0.0006592667315316048,0.0006592667315316048,True,0.0005139258875932585
42,5C_67PER_4C_NEWSTRUCTURE,S4,policy_informed_quadratic,0.00026273528417711576,0.0003049353850054829,0.000560687189727016,0.000560687189727016,True,0.000596795289142928
43,5_3C_54PER_4C_NEWSTRUCTURE,S5,adaptive_ensemble,0.0002676553076623622,0.0003102569164934504,0.0005941659370669594,0.0005941659370669594,True,0.0003613168770037458
43,5_3C_54PER_4C_NEWSTRUCTURE,S5,individual_quadratic,0.0005668890021331063,0.0006560075297773728,0.0012309905513135933,0.0012309905513135933,True,0.0005139258875932585
43,5_3C_54PER_4C_NEWSTRUCTURE,S5,policy_informed_quadratic,0.0002676042448677451,0.0003396939685584151,0.0007364947844781256,0.0007364947844781256,True,0.000596795289142928
