battery_id,strategy,strategy_code,penalty,prior_source,prior_peer_n,prior_d1,prior_d2,fitted_a,fitted_d1,fitted_d2,early_fit_rmse,future_MAE,future_RMSE,future_MaxAE,cycle200_error,selected
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,0.0,leave_target_out_policy_parameter_model,6,0.0014511882766366996,0.0009623246942887076,0.999673835519118,2.0285088001228463e-12,0.0015816961974447095,0.00022216085995128827,0.00022673426893948356,0.0002487031856830173,0.00042980119754432167,-0.00020623177471779108,True
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,0.01,leave_target_out_policy_parameter_model,6,0.0014511882766366996,0.0009623246942887076,0.9998473501195837,0.0006959049371597924,0.0011171250455486027,0.0002596434977960093,0.00021162782650168132,0.0002464115913355099,0.0004496341064235132,0.00043375756306973656,False
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,0.03,leave_target_out_policy_parameter_model,6,0.0014511882766366996,0.0009623246942887076,0.9999294570355887,0.0009369359512330941,0.0009852596026863737,0.0002752140657189793,0.0002676590712616833,0.00031394004008784837,0.0005631488914692451,0.0005612642223770115,False
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,0.1,leave_target_out_policy_parameter_model,6,0.0014511882766366996,0.0009623246942887076,1.000023188658874,0.001106156718473047,0.0009402999376376527,0.00028901683370252885,0.00023106401902803553,0.00026825963661662944,0.0004978591449843472,0.0004963929713773796,False
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,0.3,leave_target_out_policy_parameter_model,6,0.0014511882766366996,0.0009623246942887076,1.0001301336302502,0.0012471931034905188,0.0009408593157755385,0.0003115158344923178,0.00016481660439002121,0.00019063428007413187,0.00032765613020713236,0.0003190276601670039,False
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,1.0,leave_target_out_policy_parameter_model,6,0.0014511882766366996,0.0009623246942887076,1.0002273323537492,0.0013648548821251862,0.0009518465116634495,0.0003407817424427022,0.00016132251754509054,0.0002044457810297273,0.0004410873493552181,0.00013695404284508328,False
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,3.0,leave_target_out_policy_parameter_model,6,0.0014511882766366996,0.0009623246942887076,1.0002726585518622,0.0014184897119005647,0.0009581974620391471,0.00035692274008224063,0.0001922217268434512,0.00024337272003919138,0.0004985755256493585,4.960677990450968e-05,False
15,5_6C_36PER_4_3C_NEWSTRUCTURE,S7,10.0,leave_target_out_policy_parameter_model,6,0.0014511882766366996,0.0009623246942887076,1.0002917038964318,0.001440884997919192,0.0009610063430911529,0.0003641150085744299,0.00021416669088686558,0.0002636160400523256,0.0005228674921446963,1.2626028228934771e-05,False
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,0.0,leave_target_out_policy_parameter_model,4,0.0028528506482058008,0.0009312292312851089,0.9995304390826872,8.874685183736383e-31,0.00052185679022764,0.0003784396672576839,0.00015383954019352998,0.000310165886003497,0.0013357693967381845,0.0011085552217766637,True
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,0.01,leave_target_out_policy_parameter_model,4,0.0028528506482058008,0.0009312292312851089,0.9995505909349397,5.571004119505779e-16,0.0005484049686747047,0.0003789058383881397,0.00014777990112278428,0.00029474181858271225,0.0012871057156371712,0.0010225143602398123,False
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,0.03,leave_target_out_policy_parameter_model,4,0.0028528506482058008,0.0009312292312851089,0.9995837413994851,3.4500244072797277e-10,0.0005920764408327448,0.00038150705854454096,0.00018828510807380683,0.0002985458704682484,0.0012070548017486527,0.0008809782461492999,False
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,0.1,leave_target_out_policy_parameter_model,4,0.0028528506482058008,0.0009312292312851089,0.9997235569449118,0.00014097545156587497,0.0006357670768787405,0.00040949062580933153,0.00038723387741189884,0.0004243176666077519,0.0010066499279134389,0.0005640810342650848,False
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,0.3,leave_target_out_policy_parameter_model,4,0.0028528506482058008,0.0009312292312851089,1.0000869255739628,0.0005829953896564862,0.0006738057665261549,0.0005394026603237932,0.0008608217415049935,0.0008929063586512586,0.0012547963429717646,-0.00010874497145474393,False
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,1.0,leave_target_out_policy_parameter_model,4,0.0028528506482058008,0.0009312292312851089,1.0007507098224575,0.0013683442414420522,0.0007650019979808891,0.0008742022595622648,0.001819155470712326,0.0018764839519910667,0.002508313730216205,-0.0013804433523501025,False
17,4_8C_80PER_4_8C_NEWSTRUCTURE,S9,3.0,leave_target_out_policy_parameter_model,4,0.0028528506482058008,0.0009312292312851089,1.001439790103846,0.0021956580191526197,0.0008475001593796397,0.0012601069686699025,0.0028378252929790993,0.002899625029231655,0.003792288835426927,-0.002675983271977711,False
